Slime ID, Wave Number, Player Distance Fitness, Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Slime View Range Gene, Slime View Range Trait, Tower View Range Gene, Tower View Range Trait, Player View Range Gene, Player View Range Trait, Wall View Range Gene, Wall View Range Trait, Sheep View Range Gene, Sheep View Range Trait, Slime Attraction Gene, Slime Attraction Trait, Tower Attraction Gene, Tower Attraction Trait, Player Attraction Gene, Player Attraction Trait, Wall Attraction Gene, Wall Attraction Trait, Sheep Attraction Gene, Sheep Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Sprint Duration Gene, Sprint Duration Trait, Sprint Cooldown Gene, Sprint Cooldown Trait, 
0, 0, 210, 8, 11, 2, 4, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
1, 0, 377, 14, 12, 2, 1, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
2, 0, 414, 23, 8, 7, 0, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
3, 0, 10, 16, 19, 1, 0, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
4, 0, 320, 8, 0, 3, 3, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
5, 0, 259, 19, 22, 6, 7, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
6, 0, 369, 1, 4, 1, 3, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
7, 0, 255, 12, 6, 5, 2, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
8, 0, 439, 23, 16, 6, 6, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
9, 0, 156, 0, 20, 7, 5, 0, 0.2689414, 0, 0.2689414, 0, 5.034122, 0, 6.109887, 0, 3.689414, 0, 5.034122, 0, 5.034122, 0, 0, 0, 0, 0, 0, 0, 0.6, 0, 0.5, 0, 0, 0, 2.889414, 0, 0.5, 0, 2.5, 0, 2.5, 
